College,City,Role,Previous CTC,Previous job change,Graduation Marks,EXP (Month),CTC
"BMS College, Bangalore",Surat,Executive,43991.00,3,63,52,65742.89
BITS Pilani (Pilani Campus),Rajpur Sonarpur,Executive,56932.00,3,60,28,76261.61
Manipal Main Campus,Kolkata,Executive,56426.00,1,70,50,67726.88
IIT Ropar,Ahmedabad,Executive,54155.00,3,70,44,78630.03
"Dayanand College of Engineering, Bangalore",Rourkela,Executive,43851.00,1,65,26,54865.59
Amity University,Asansol,Executive,56122.00,1,54,33,64557.84
"PES University, Bangalore",Durgapur,Manager,55131.00,2,42,19,93178.19
IIT Kanpur,Kolkata,Executive,57751.00,1,48,50,78378.46
NIT Kurukshetra,Bangalore,Executive,58653.00,4,66,41,80073.57
Amity University,Kozhikode,Executive,49004.00,1,69,52,89751.35
Jadavpur University,Durgapur,Executive,56930.00,3,74,39,66943.47
IIITM Gwalior,Ajmer,Executive,54247.00,1,49,50,85719.27
"KIIT, Bhubaneswar",Bangalore,Executive,58582.00,1,68,52,71322.55
BITS Pilani (Goa Campus),Kolkata,Manager,61709.00,4,39,60,117207.24
BITS Pilani (Hyderabad Campus),Surat,Executive,58409.00,4,37,20,56691.33
BIT Mesra,Ajmer,Executive,49158.00,1,54,55,85505.19
"KIIT, Bhubaneswar",Surat,Executive,63379.00,3,58,42,69885.18
"USIT, Delhi",Kolkata,Executive,56008.00,2,68,18,64849.34
NIT Rourkela,Chennai,Executive,60357.00,3,46,58,80065.96
"KIIT, Bhubaneswar",Rajpur Sonarpur,Manager,55592.00,4,79,43,93020.09
BIT Mesra,Chennai,Executive,56240.00,3,61,35,68760.12
NIT Kurukshetra,Hyderabad,Executive,51556.00,4,84,48,70431.03
IGDTUW,Surat,Executive,49213.00,1,82,36,68388.95
NIT Warangal,Chennai,Manager,65184.00,4,82,19,99052.84
Jalpaiguri Government Engineering College,Durgapur,Executive,45171.00,3,52,23,67097.18
BITS Pilani (Hyderabad Campus),Rajpur Sonarpur,Executive,57913.00,2,83,20,55293.75
IIT Delhi,Rourkela,Executive,61365.00,4,78,32,63147.41
NIT Raipur,Durgapur,Executive,58243.00,1,66,43,61544.46
"Heritage Institute of Technology, Kolkata",Chennai,Executive,66309.00,1,75,34,64938.37
IIT Delhi,Pune,Executive,64922.00,2,51,30,90181.89
NIT Tiruchipally (Trichy),Pune,Executive,56749.00,1,37,18,61767.79
IIT Roorkee,Ahmedabad,Executive,53798.00,2,44,41,70241.22
"PES University, Bangalore",Durgapur,Executive,46468.00,1,74,35,70966.30
NIT Raipur,Bangalore,Executive,65405.00,4,45,57,78163.11
NIT Rourkela,Rajpur Sonarpur,Executive,54254.00,2,60,29,61216.81
BITS Pilani (Hyderabad Campus),Delhi,Executive,62951.00,3,50,32,74365.36
IGDTUW,Pune,Executive,64066.00,4,64,37,69326.09
NIT Patna,Asansol,Manager,51461.00,3,74,18,72709.86
"IEM, Kolkata",Durgapur,Manager,49699.00,3,84,43,78721.30
"Cummins College of Engineering for Women, Pune",Kozhikode,Executive,63663.00,4,44,56,64125.56
IIT BHU (Varanasi),Kolkata,Executive,53866.00,3,40,38,72441.01
Amity University,Surat,Executive,55074.00,3,79,29,67749.39
NIT Patna,Surat,Executive,50177.00,3,58,22,60864.10
IIT Guwahati,Hyderabad,Manager,50204.00,4,49,52,69110.75
"KIIT, Bhubaneswar",Asansol,Executive,54135.00,2,70,40,58680.23
"MSIT, Delhi",Durgapur,Executive,63207.00,2,84,23,71112.14
MNIT Jaipur,Ajmer,Manager,50297.00,2,39,31,67527.15
NIT Warangal,Kolkata,Executive,67699.00,2,81,42,80017.56
IIT Ropar,Bangalore,Executive,53635.00,4,61,24,66094.08
NIT Bhopal,Kolhapur,Executive,57135.00,2,62,25,61164.74
IIIT Hyderabad,Ahmedabad,Executive,54256.00,4,83,48,68986.00
BITS Pilani (Goa Campus),Ajmer,Manager,56796.00,3,81,23,78555.43
Manipal Main Campus,Delhi,Executive,50007.00,4,35,45,69125.34
IIT Roorkee,Durgapur,Manager,56229.00,3,76,20,101915.60
"Cummins College of Engineering for Women, Pune",Durgapur,Executive,54621.00,2,52,62,74204.19
SRM Main Campus,Kolhapur,Manager,46454.00,2,44,43,80042.53
NIT Calicut,Kozhikode,Executive,52886.00,2,60,23,71190.67
DAIICT,Kolhapur,Executive,60025.00,2,54,31,71258.48
BITS Pilani (Goa Campus),Asansol,Executive,49743.00,4,63,41,77869.10
NIT Durgapur,Kozhikode,Executive,60429.00,1,35,58,88297.22
TIET/Thapar University,Ajmer,Executive,65477.00,2,36,48,63825.21
BITS Pilani (Goa Campus),Kolkata,Executive,42093.00,3,46,31,63799.66
NIT Tiruchipally (Trichy),Rourkela,Executive,54529.00,1,77,19,80699.82
"Amrita University, Coimbatore",Bangalore,Manager,58513.00,3,84,19,96121.86
"Jaypee, Noida",Kozhikode,Executive,58339.00,3,49,41,70172.65
Manipal Main Campus,Rourkela,Executive,59279.00,2,52,40,73150.11
"PES University, Bangalore",Pune,Executive,51921.00,1,35,31,73183.35
"KIIT, Bhubaneswar",Rourkela,Executive,52761.00,2,41,37,64003.57
IIIT Lucknow,Ahmedabad,Executive,65318.00,3,72,46,67462.73
"Jaypee, Noida",Asansol,Executive,57269.00,2,80,22,65914.62
Punjab Engineering College,Kolhapur,Executive,55593.00,1,82,51,74420.60
IIEST/BESU Shibpur,Bangalore,Manager,53100.00,3,59,18,78046.30
"KIIT, Bhubaneswar",Durgapur,Executive,41628.00,1,76,35,62015.95
IIT Guwahati,Asansol,Executive,61245.00,4,47,59,95876.25
SVNIT Surat,Chennai,Manager,62568.00,2,39,36,94030.29
DTU,Hyderabad,Manager,48402.00,4,47,37,81043.15
IIT BHU (Varanasi),Kolkata,Executive,58434.00,4,65,59,70821.12
"Cummins College of Engineering for Women, Pune",Kolhapur,Executive,54097.00,2,37,36,76870.60
"MAIT, Delhi",Rourkela,Executive,63767.00,3,35,39,92160.40
IIT Kharagpur,Hyderabad,Executive,50441.00,1,84,18,66181.93
NIT Jalandhar,Hyderabad,Executive,55296.00,4,43,52,69732.87
IIT Delhi,Surat,Executive,53330.00,4,39,27,61239.85
IIIT Lucknow,Ahmedabad,Executive,66173.00,3,52,18,84956.21
SRM Main Campus,Pune,Executive,52744.00,4,80,40,67304.59
NIT Sikkim,Ajmer,Executive,61383.00,4,61,29,67320.63
IIIT Lucknow,Rourkela,Manager,60448.00,4,60,46,112779.40
IIIT Delhi,Asansol,Executive,55152.00,1,35,38,63921.31
IIIT Hyderabad,Bangalore,Executive,42355.00,3,76,30,64636.87
NSUT Delhi (NSIT),Kolhapur,Executive,53884.00,1,63,40,73543.94
DAIICT,Kozhikode,Executive,49963.00,2,46,50,74265.14
"Amrita University, Coimbatore",Ajmer,Manager,53902.00,3,47,20,90466.74
"Amrita University, Coimbatore",Rajpur Sonarpur,Executive,44974.00,2,61,41,62808.80
"Cummins College of Engineering for Women, Pune",Pune,Executive,61732.00,1,66,33,60602.08
MNIT Jaipur,Ahmedabad,Executive,42170.00,1,52,38,65191.42
IIT Ropar,Ajmer,Executive,62831.00,3,85,42,70825.24
NIT Jamshedpur,Kolhapur,Executive,57686.00,4,65,56,74778.09
"IEM, Kolkata",Delhi,Executive,57254.00,1,70,58,71638.60
IIIT Lucknow,Asansol,Manager,60298.00,1,47,52,123416.99
Jalpaiguri Government Engineering College,Asansol,Manager,47335.00,2,52,20,73270.92
Jadavpur University,Ajmer,Executive,54452.00,3,40,54,65218.69
NIT Durgapur,Bangalore,Executive,49086.00,4,80,58,78946.57
"Jaypee, Noida",Rajpur Sonarpur,Executive,57475.00,4,64,45,72715.72
IIT Madras,Rourkela,Executive,60056.00,3,68,26,57304.09
NIT Patna,Delhi,Executive,42227.00,4,62,63,74288.12
IIT Indore,Bangalore,Executive,51636.00,3,77,58,62720.14
NIT Tiruchipally (Trichy),Ajmer,Executive,52099.00,4,49,37,66978.72
IIITM Gwalior,Kolkata,Executive,64898.00,1,65,25,53486.69
NIT Rourkela,Kolkata,Manager,67907.00,2,74,52,113508.80
R.V. College of Engineering,Hyderabad,Manager,62908.00,4,41,64,107149.02
IIITM Gwalior,Ajmer,Executive,50268.00,4,37,22,62997.46
IIEST/BESU Shibpur,Rourkela,Executive,55183.00,2,78,28,64495.67
IIT Madras,Asansol,Executive,61183.00,4,67,18,60461.93
IIT ISM Dhanbad,Kolkata,Executive,45023.00,2,39,28,65800.20
"MSIT, Delhi",Durgapur,Executive,52364.00,3,77,45,65458.44
IIT Delhi,Rajpur Sonarpur,Executive,55788.00,3,70,33,79389.33
IIT BHU (Varanasi),Chennai,Executive,69032.00,4,46,18,56675.95
Jadavpur University,Chennai,Manager,59439.00,1,77,32,108591.11
IIT Indore,Chennai,Manager,53547.00,3,82,24,88400.48
NIT Kurukshetra,Rajpur Sonarpur,Executive,40996.00,3,37,19,74415.20
NIT Jamshedpur,Delhi,Manager,48796.00,4,85,20,77569.74
BITS Pilani (Pilani Campus),Asansol,Executive,56829.00,4,74,40,81195.86
NIT Raipur,Delhi,Executive,54748.00,1,68,34,69403.41
NIT Calicut,Surat,Executive,60337.00,1,37,42,71376.42
BITS Pilani (Pilani Campus),Chennai,Executive,59176.00,3,35,51,67273.98
"KIIT, Bhubaneswar",Kolkata,Executive,55672.00,1,43,54,71726.71
NIT Surathkal (Karnataka),Kozhikode,Executive,63448.00,2,76,55,94510.73
NIT Jalandhar,Bangalore,Executive,50429.00,2,41,52,75993.47
NIT Tiruchipally (Trichy),Hyderabad,Executive,41989.00,4,48,32,62216.45
NIT Warangal,Kozhikode,Executive,63087.00,1,66,28,70052.79
NIT Raipur,Asansol,Executive,50400.00,4,76,41,62229.29
"Amrita University, Coimbatore",Rajpur Sonarpur,Executive,50106.00,2,66,43,71532.81
"Heritage Institute of Technology, Kolkata",Pune,Executive,59860.00,2,54,49,78562.35
IIT BHU (Varanasi),Durgapur,Manager,44965.00,2,77,64,83414.05
BITS Pilani (Goa Campus),Bangalore,Executive,55558.00,4,68,55,66632.83
IIEST/BESU Shibpur,Ajmer,Manager,57337.00,3,76,24,88044.35
NIT Bhopal,Kolhapur,Executive,55210.00,1,80,20,62180.74
SVNIT Surat,Kolkata,Executive,51416.00,1,84,45,73874.70
NIT Patna,Chennai,Executive,55875.00,4,76,26,67488.08
NIT Kurukshetra,Ahmedabad,Executive,58333.00,1,38,25,66935.07
TIET/Thapar University,Kolkata,Executive,46631.00,2,56,43,69919.87
"KIIT, Bhubaneswar",Asansol,Executive,47633.00,2,62,35,63618.80
"MSIT, Delhi",Bangalore,Manager,47460.00,4,82,26,74837.72
IIT Delhi,Durgapur,Executive,50315.00,2,46,57,77795.34
BITS Pilani (Goa Campus),Rajpur Sonarpur,Executive,54384.00,1,76,22,74948.17
"Amrita University, Coimbatore",Delhi,Executive,59354.00,4,72,32,60200.18
"Dayanand College of Engineering, Bangalore",Chennai,Manager,52881.00,3,57,39,87630.95
NIT Jalandhar,Ajmer,Executive,56763.00,3,38,25,58983.46
"Dayanand College of Engineering, Bangalore",Hyderabad,Executive,61870.00,1,42,48,65467.76
IIT Roorkee,Hyderabad,Manager,55180.00,2,73,47,79153.15
SRM Main Campus,Chennai,Manager,50723.00,1,59,18,80841.08
IIT Guwahati,Chennai,Executive,53125.00,1,42,18,60333.57
NIT Patna,Surat,Manager,65519.00,3,55,61,117307.70
VIT Vellore,Ajmer,Executive,54005.00,1,78,47,72128.86
IIT Guwahati,Hyderabad,Executive,41862.00,2,41,28,65494.51
NIT Jamshedpur,Bangalore,Executive,52694.00,1,36,36,68185.43
TIET/Thapar University,Surat,Manager,66148.00,2,41,20,111739.65
NIT Patna,Ajmer,Executive,64193.00,1,78,44,75081.97
DTU,Ahmedabad,Executive,44023.00,3,53,38,62231.54
NIT Warangal,Kozhikode,Manager,62788.00,4,55,19,89010.90
"Dayanand College of Engineering, Bangalore",Asansol,Executive,52880.00,1,64,21,60310.88
MNNIT Allahabad,Pune,Executive,47404.00,4,66,46,68071.37
IIT Kharagpur,Pune,Executive,53042.00,3,83,58,84687.72
"Heritage Institute of Technology, Kolkata",Ahmedabad,Executive,50887.00,4,37,20,63597.09
"Cummins College of Engineering for Women, Pune",Ajmer,Executive,52604.00,3,82,18,75098.22
"Amrita University, Coimbatore",Ahmedabad,Executive,53239.00,4,78,28,67381.61
IIIT Jabalpur,Ajmer,Executive,51444.00,2,42,33,67500.55
IIT Guwahati,Delhi,Executive,54855.00,3,53,19,60631.23
R.V. College of Engineering,Kolkata,Manager,59883.00,4,40,45,119585.49
BITS Pilani (Goa Campus),Rajpur Sonarpur,Manager,58204.00,4,36,62,101108.86
"Jaypee, Noida",Delhi,Executive,50670.00,1,41,25,68130.72
"Jaypee, Noida",Pune,Manager,53045.00,3,47,43,105077.70
IIT ISM Dhanbad,Surat,Manager,47753.00,4,73,42,90597.18
IIT Madras,Ahmedabad,Executive,49240.00,2,67,24,60020.13
Manipal Main Campus,Rajpur Sonarpur,Manager,47842.00,1,77,29,83103.77
IIIT Allahabad,Durgapur,Manager,49427.00,1,82,32,86755.79
"BMS College, Bangalore",Ajmer,Manager,54876.00,3,82,25,90608.41
"Dayanand College of Engineering, Bangalore",Durgapur,Executive,55179.00,4,54,41,72895.67
IIIT Hyderabad,Durgapur,Executive,47650.00,2,49,42,72634.98
IIT Ropar,Delhi,Executive,52669.00,2,84,33,66633.06
NIT Jalandhar,Bangalore,Executive,64069.00,2,40,34,76812.81
MNIT Jaipur,Asansol,Manager,56004.00,1,69,19,92433.88
IIT Madras,Rourkela,Manager,46000.00,4,64,30,63148.62
IIIT Lucknow,Ahmedabad,Executive,50518.00,3,75,18,82046.23
NIT Jamshedpur,Asansol,Executive,50130.00,2,40,19,54356.95
IIT Ropar,Rajpur Sonarpur,Executive,76070.00,2,54,18,58309.56
NIT Raipur,Bangalore,Executive,60495.00,3,47,35,84676.05
"Techno India, Kolkata",Surat,Executive,50935.00,2,67,39,66054.39
TIET/Thapar University,Kolkata,Executive,60109.00,2,47,31,61396.48
"PES University, Bangalore",Asansol,Manager,55145.00,4,38,62,82190.52
TIET/Thapar University,Kolhapur,Executive,62619.00,1,77,62,71767.67
NIT Kurukshetra,Rajpur Sonarpur,Manager,61299.00,4,72,42,103103.64
NIT Tiruchipally (Trichy),Durgapur,Executive,47058.00,4,53,31,62076.85
"Cummins College of Engineering for Women, Pune",Kolkata,Executive,59344.00,1,64,61,84601.54
IIT Kanpur,Asansol,Executive,61239.00,4,85,42,69545.88
IIT BHU (Varanasi),Bangalore,Executive,57311.00,3,54,51,66931.93
IIIT Hyderabad,Durgapur,Executive,47080.00,4,66,23,84688.33
NSUT Delhi (NSIT),Ahmedabad,Executive,59189.00,4,45,52,82670.85
MNNIT Allahabad,Bangalore,Executive,46452.00,4,83,57,70993.97
Amity University,Surat,Executive,58254.00,4,42,23,73463.16
"Dayanand College of Engineering, Bangalore",Ahmedabad,Executive,72649.00,3,69,52,78861.46
IIT Kanpur,Pune,Executive,59661.00,4,68,50,69712.40
IIIT Delhi,Surat,Executive,53714.00,1,67,18,69298.75
VIT Vellore,Kozhikode,Executive,61957.00,1,47,18,66397.77
IIIT Hyderabad,Ahmedabad,Executive,53203.00,3,69,21,64044.38
VIT Vellore,Asansol,Manager,55523.00,1,47,61,83346.06
"Jaypee, Noida",Bangalore,Manager,55523.00,3,66,19,71406.58
NIT Raipur,Rourkela,Executive,57081.00,1,84,18,68005.87
"Dayanand College of Engineering, Bangalore",Ajmer,Executive,60347.00,2,52,28,76764.02
IIIT Hyderabad,Ahmedabad,Executive,49010.00,2,81,33,82092.39
Amity University,Durgapur,Executive,57879.00,4,74,32,73878.10
LNMIIT,Chennai,Executive,54340.00,4,73,31,59950.89
IIT BHU (Varanasi),Ajmer,Executive,60298.00,1,42,46,66602.34
MNIT Jaipur,Ahmedabad,Executive,49944.00,2,56,37,57768.44
NIT Jamshedpur,Bangalore,Executive,53124.00,4,40,37,70083.30
NIT Tiruchipally (Trichy),Durgapur,Executive,51141.00,1,47,60,85648.48
"USIT, Delhi",Rourkela,Executive,49497.00,1,50,25,74914.15
"Techno India, Kolkata",Rourkela,Manager,50197.00,2,66,62,85219.39
VIT Vellore,Rourkela,Executive,63234.00,4,73,23,82910.94
"Techno India, Kolkata",Ajmer,Executive,60059.00,2,71,56,74350.08
Jalpaiguri Government Engineering College,Chennai,Manager,66487.00,1,50,27,103595.83
Jadavpur University,Ahmedabad,Executive,49292.00,4,49,19,70729.63
LNMIIT,Rajpur Sonarpur,Executive,55400.00,4,48,52,70051.94
IIT Ropar,Pune,Executive,53089.00,2,72,23,69403.49
IIT BHU (Varanasi),Bangalore,Executive,69345.00,3,79,56,84710.53
"Jaypee, Noida",Ahmedabad,Manager,63508.00,1,48,30,95879.94
BITS Pilani (Goa Campus),Surat,Executive,60057.00,1,61,60,73487.13
IIT ISM Dhanbad,Bangalore,Executive,52402.00,3,35,30,61597.98
"BMS College, Bangalore",Pune,Executive,60180.00,2,68,18,63119.80
"MSIT, Delhi",Surat,Manager,53422.00,4,44,34,98586.83
"PES University, Bangalore",Pune,Executive,49857.00,3,37,37,71502.56
BITS Pilani (Goa Campus),Durgapur,Executive,48682.00,3,82,59,64320.67
"USIT, Delhi",Hyderabad,Executive,48516.00,2,37,63,77310.22
"KIIT, Bhubaneswar",Chennai,Executive,54363.00,3,44,55,74825.20
BITS Pilani (Goa Campus),Kozhikode,Executive,39636.00,3,43,23,59230.44
"Jaypee, Noida",Chennai,Manager,65172.00,1,44,31,107138.14
NIT Durgapur,Rourkela,Manager,58529.00,1,65,22,102763.61
NIT Warangal,Kozhikode,Executive,50011.00,2,72,18,69764.49
NIT Tiruchipally (Trichy),Durgapur,Executive,50020.00,4,75,19,59889.14
"Techno India, Kolkata",Pune,Executive,55764.00,2,64,63,82356.41
Jadavpur University,Pune,Manager,60894.00,4,80,28,118651.89
IIT Kharagpur,Kolkata,Executive,42259.00,4,37,19,66762.27
NIT Kurukshetra,Kolkata,Executive,59978.00,2,75,62,79454.74
"Dayanand College of Engineering, Bangalore",Kolhapur,Executive,47129.00,1,41,26,66079.85
"Techno India, Kolkata",Kolhapur,Manager,57485.00,1,77,35,103774.34
"Techno India, Kolkata",Kozhikode,Manager,62593.00,3,71,60,112716.44
"MSIT, Delhi",Kolhapur,Executive,48913.00,3,41,24,62819.16
IIITM Gwalior,Pune,Executive,66101.00,4,81,31,55470.55
IIIT Delhi,Chennai,Executive,49622.00,2,73,41,69510.05
"MSIT, Delhi",Surat,Executive,59386.00,4,46,37,68064.76
"Jaypee, Noida",Rajpur Sonarpur,Executive,66050.00,1,35,38,69116.93
"IEM, Kolkata",Delhi,Executive,59492.00,1,69,55,86354.84
IIIT Allahabad,Kolhapur,Executive,61134.00,3,72,18,60456.69
IIT Delhi,Rourkela,Executive,61956.00,4,54,28,71791.28
NIT Sikkim,Rourkela,Executive,46086.00,4,50,60,67626.89
"USIT, Delhi",Asansol,Manager,61481.00,3,79,36,99794.40
BITS Pilani (Goa Campus),Kolhapur,Executive,55727.00,3,79,18,70350.79
IIIT Jabalpur,Durgapur,Executive,61576.00,2,73,21,58818.77
IIT Kanpur,Hyderabad,Manager,57563.00,1,64,48,86487.58
Punjab Engineering College,Kolhapur,Manager,58288.00,3,84,36,92378.50
LNMIIT,Kolkata,Executive,55282.00,3,60,40,73281.55
Amity University,Chennai,Manager,66624.00,1,63,58,110438.17
"BMS College, Bangalore",Bangalore,Executive,59443.00,3,52,58,67485.10
IIT Indore,Surat,Manager,51937.00,3,64,18,92518.37
IIIT Allahabad,Asansol,Manager,46477.00,3,37,53,72977.63
"Jaypee, Noida",Asansol,Executive,62470.00,3,60,34,64770.75
IIT ISM Dhanbad,Asansol,Executive,51123.00,2,52,43,74845.87
IIT Ropar,Pune,Executive,56301.00,3,58,25,59913.31
IIIT Hyderabad,Ahmedabad,Executive,46670.00,1,69,64,95961.18
"MSIT, Delhi",Hyderabad,Executive,54375.00,2,82,28,60766.38
"USIT, Delhi",Asansol,Manager,45227.00,4,40,20,69193.96
SRM Main Campus,Ahmedabad,Executive,50787.00,4,81,19,66433.40
"Heritage Institute of Technology, Kolkata",Durgapur,Executive,62919.00,3,42,61,73410.95
NSUT Delhi (NSIT),Hyderabad,Executive,51770.00,3,45,40,68447.63
Jalpaiguri Government Engineering College,Surat,Executive,60123.00,1,47,40,60185.40
NIT Raipur,Kolhapur,Manager,51002.00,4,41,28,76765.02
"IEM, Kolkata",Asansol,Manager,46940.00,1,69,27,70157.03
DTU,Kolkata,Executive,49905.00,4,66,31,75297.34
"BMS College, Bangalore",Ajmer,Executive,51505.00,2,55,53,76960.48
IIT Kharagpur,Rourkela,Executive,52474.00,3,79,58,76204.89
MNIT Jaipur,Delhi,Executive,49172.00,2,57,44,63782.20
NIT Tiruchipally (Trichy),Kolkata,Executive,56916.00,3,42,57,69415.11
"Heritage Institute of Technology, Kolkata",Delhi,Executive,59386.00,1,38,29,64472.36
"PES University, Bangalore",Kolkata,Executive,55748.00,3,84,21,60815.42
"MAIT, Delhi",Chennai,Executive,65574.00,2,83,22,55902.83
DTU,Bangalore,Executive,58541.00,4,79,41,64468.29
IIT Madras,Kozhikode,Executive,50672.00,4,79,31,76093.36
NIT Sikkim,Kozhikode,Executive,68071.00,1,70,45,81430.49
NIT Jalandhar,Delhi,Manager,58815.00,4,71,22,106165.08
BITS Pilani (Pilani Campus),Kozhikode,Executive,62493.00,3,74,48,67374.71
NIT Surathkal (Karnataka),Pune,Manager,60182.00,4,59,37,103574.45
"Heritage Institute of Technology, Kolkata",Pune,Manager,42941.00,1,49,45,74191.43
BITS Pilani (Pilani Campus),Asansol,Manager,55505.00,2,40,57,100887.85
"Amrita University, Coimbatore",Asansol,Executive,54114.00,3,82,56,78715.16
"BMS College, Bangalore",Pune,Executive,57670.00,1,41,46,70686.71
"Techno India, Kolkata",Asansol,Executive,54361.00,2,68,55,73231.75
NIT Patna,Chennai,Executive,67083.00,4,39,21,66296.73
IIIT Allahabad,Ahmedabad,Executive,52483.00,2,65,53,71738.23
VIT Vellore,Asansol,Manager,55581.00,4,49,59,99551.34
NIT Kurukshetra,Hyderabad,Executive,62243.00,1,41,35,75903.42
"Amrita University, Coimbatore",Ajmer,Manager,59293.00,1,81,64,105308.78
"PES University, Bangalore",Kozhikode,Executive,59707.00,3,70,28,56003.61
NIT Jalandhar,Asansol,Executive,57726.00,4,84,54,68673.29
IIT Kanpur,Kozhikode,Executive,58401.00,4,45,55,76028.50
LNMIIT,Durgapur,Manager,41228.00,2,64,56,87418.05
NIT Surathkal (Karnataka),Hyderabad,Manager,40945.00,1,46,38,74984.02
NIT Patna,Delhi,Executive,54794.00,4,47,41,66591.29
"MAIT, Delhi",Kolkata,Executive,51692.00,2,57,30,72088.04
"KIIT, Bhubaneswar",Kolhapur,Executive,52305.00,1,35,18,78521.17
IIIT Allahabad,Hyderabad,Manager,56680.00,4,63,61,85688.72
MNNIT Allahabad,Delhi,Executive,52300.00,4,52,34,66657.86
NIT Kurukshetra,Kozhikode,Manager,56710.00,2,47,20,67879.02
IIT Madras,Delhi,Executive,51351.00,1,69,19,60069.68
IIIT Allahabad,Rajpur Sonarpur,Executive,51022.00,2,55,26,67820.31
NIT Silchar,Asansol,Executive,52096.00,3,37,29,65685.02
"BMS College, Bangalore",Rajpur Sonarpur,Manager,59099.00,2,67,63,103305.30
DAIICT,Rourkela,Executive,57677.00,4,77,54,76671.69
IIT Roorkee,Rourkela,Executive,59343.00,3,85,55,76577.99
IIT Madras,Asansol,Executive,54767.00,1,35,37,66693.98
"PES University, Bangalore",Ajmer,Executive,60869.00,1,77,21,60125.97
Jadavpur University,Delhi,Executive,53949.00,4,81,52,80042.11
Amity University,Asansol,Executive,48707.00,4,77,60,97106.11
BITS Pilani (Pilani Campus),Chennai,Executive,77911.00,1,50,58,87831.62
NIT Calicut,Ajmer,Manager,54183.00,1,40,29,70630.95
BITS Pilani (Hyderabad Campus),Ahmedabad,Executive,51099.00,3,71,49,67516.63
"PES University, Bangalore",Kozhikode,Executive,51591.00,1,79,37,67573.29
"IEM, Kolkata",Kolhapur,Executive,61057.00,1,41,44,80714.79
IIT Madras,Asansol,Executive,48280.00,4,79,18,75430.51
VNIT Nagpur,Hyderabad,Executive,57606.00,4,78,20,54071.79
IIT ISM Dhanbad,Rajpur Sonarpur,Manager,55440.00,4,72,44,112826.26
BITS Pilani (Goa Campus),Kolhapur,Executive,54055.00,1,63,47,60944.33
IIT Delhi,Ajmer,Executive,49862.00,3,82,26,65065.52
"Amrita University, Coimbatore",Asansol,Manager,56204.00,2,65,19,82667.77
NIT Jalandhar,Ahmedabad,Executive,65161.00,2,41,52,82517.59
IIT Ropar,Ajmer,Manager,42143.00,3,38,32,88208.37
VIT Vellore,Bangalore,Executive,57924.00,4,62,38,68023.41
"Dayanand College of Engineering, Bangalore",Hyderabad,Executive,48755.00,2,69,59,73464.75
IIT Indore,Delhi,Executive,50926.00,3,83,61,77222.00
"IEM, Kolkata",Ahmedabad,Executive,65158.00,3,67,53,67163.57
IIIT Lucknow,Asansol,Executive,46073.00,4,73,19,59241.32
"MSIT, Delhi",Bangalore,Executive,53110.00,4,43,20,72322.79
"MAIT, Delhi",Kolkata,Executive,50180.00,1,41,22,55226.53
"BMS College, Bangalore",Asansol,Executive,61124.00,3,64,19,73417.07
Jalpaiguri Government Engineering College,Asansol,Executive,54583.00,3,82,22,63534.87
NIT Rourkela,Ahmedabad,Executive,52400.00,3,72,54,90774.04
Jadavpur University,Surat,Executive,64264.00,1,51,22,77666.95
VNIT Nagpur,Kolkata,Executive,44197.00,3,52,34,95868.30
DAIICT,Rourkela,Executive,56273.00,1,75,26,74544.57
Jadavpur University,Kolkata,Manager,47481.00,4,42,34,77150.63
NSUT Delhi (NSIT),Rourkela,Executive,58053.00,1,53,29,86298.82
VIT Vellore,Kolhapur,Manager,58071.00,4,76,30,74697.64
"Amrita University, Coimbatore",Kolkata,Executive,66845.00,1,60,29,58695.65
BITS Pilani (Goa Campus),Rourkela,Manager,60396.00,3,72,46,96190.72
NIT Surathkal (Karnataka),Ahmedabad,Executive,67056.00,3,55,51,63582.13
IIT Roorkee,Asansol,Executive,63823.00,4,39,53,61586.14
VIT Vellore,Kolkata,Executive,49475.00,3,71,19,75037.68
IIT Ropar,Ahmedabad,Executive,50330.00,3,80,35,61282.09
Amity University,Durgapur,Executive,57858.00,4,43,48,71522.23
NIT Surathkal (Karnataka),Kozhikode,Executive,61627.00,3,58,32,74596.33
Jalpaiguri Government Engineering College,Rourkela,Manager,49733.00,1,76,42,77168.22
IIIT Hyderabad,Kolhapur,Executive,55308.00,2,36,40,75028.75
IIT ISM Dhanbad,Ajmer,Executive,66048.00,4,80,44,76619.74
"PES University, Bangalore",Hyderabad,Manager,49405.00,1,63,48,75910.11
IIT Delhi,Kolkata,Manager,49810.00,1,47,18,73056.77
"Techno India, Kolkata",Rourkela,Manager,56330.00,4,46,30,94478.70
"PES University, Bangalore",Kolhapur,Executive,56485.00,2,36,50,69960.25
"Amrita University, Coimbatore",Surat,Manager,47053.00,2,46,42,67407.05
IIT ISM Dhanbad,Surat,Manager,64179.00,4,74,18,97119.39
BITS Pilani (Pilani Campus),Durgapur,Executive,60385.00,4,78,54,83984.48
IIT Indore,Rourkela,Executive,50963.00,2,45,32,76385.23
"Dayanand College of Engineering, Bangalore",Rourkela,Executive,50024.00,1,77,37,66216.70
IIITM Gwalior,Pune,Executive,50334.00,2,36,47,82526.93
NIT Durgapur,Ahmedabad,Executive,61054.00,3,68,20,74459.25
MNIT Jaipur,Kolkata,Executive,58629.00,3,39,32,62936.70
NIT Silchar,Bangalore,Executive,52519.00,2,45,19,59425.89
